student_id,student_name,subject,marks,max_marks,attendance,study_hours,grade
S001,Aarav Patel,Mathematics,91,100,91,6,A+
S001,Aarav Patel,Physics,97,100,82,4,A+
S001,Aarav Patel,Chemistry,92,100,94,6,A+
S001,Aarav Patel,Computer Science,86,100,88,5,A
S001,Aarav Patel,English,88,100,100,5,A
S002,Bhavna Reddy,Mathematics,83,100,90,5,A
S002,Bhavna Reddy,Physics,89,100,78,5,A
S002,Bhavna Reddy,Chemistry,88,100,96,5,A
S002,Bhavna Reddy,Computer Science,88,100,91,6,A
S002,Bhavna Reddy,English,76,100,94,4,B+
S003,Chirag Mehta,Mathematics,92,100,88,4,A+
S003,Chirag Mehta,Physics,80,100,78,4,A
S003,Chirag Mehta,Chemistry,73,100,84,6,B+
S003,Chirag Mehta,Computer Science,86,100,89,6,A
S003,Chirag Mehta,English,85,100,93,5,A
S004,Divya Iyer,Mathematics,96,100,86,6,A+
S004,Divya Iyer,Physics,82,100,100,5,A
S004,Divya Iyer,Chemistry,76,100,96,7,B+
S004,Divya Iyer,Computer Science,89,100,96,7,A
S004,Divya Iyer,English,84,100,78,5,A
S005,Eshan Kapoor,Mathematics,85,100,84,6,A
S005,Eshan Kapoor,Physics,86,100,89,6,A
S005,Eshan Kapoor,Chemistry,100,100,84,5,A+
S005,Eshan Kapoor,Computer Science,95,100,75,7,A+
S005,Eshan Kapoor,English,78,100,91,6,B+
S006,Farida Khan,Mathematics,95,100,75,4,A+
S006,Farida Khan,Physics,80,100,93,7,A
S006,Farida Khan,Chemistry,84,100,92,6,A
S006,Farida Khan,Computer Science,93,100,97,6,A+
S006,Farida Khan,English,76,100,97,6,B+
S007,Gaurav Nair,Mathematics,64,100,86,6,B
S007,Gaurav Nair,Physics,84,100,87,4,A
S007,Gaurav Nair,Chemistry,78,100,88,5,B+
S007,Gaurav Nair,Computer Science,81,100,81,6,A
S007,Gaurav Nair,English,100,100,85,5,A+
S008,Hina Joshi,Mathematics,94,100,100,4,A+
S008,Hina Joshi,Physics,81,100,100,5,A
S008,Hina Joshi,Chemistry,82,100,90,4,A
S008,Hina Joshi,Computer Science,86,100,80,6,A
S008,Hina Joshi,English,85,100,100,6,A
S009,Ishaan Verma,Mathematics,88,100,84,7,A
S009,Ishaan Verma,Physics,90,100,93,5,A+
S009,Ishaan Verma,Chemistry,81,100,90,6,A
S009,Ishaan Verma,Computer Science,71,100,96,6,B+
S009,Ishaan Verma,English,79,100,88,6,B+
S010,Jaya Singh,Mathematics,78,100,77,5,B+
