student_id,student_name,subject,marks,max_marks,attendance,study_hours,grade
STU0001,Zara Kumar,Mathematics,67,100,80,4,B
STU0001,Zara Kumar,Physics,54,100,62,5,C
STU0001,Zara Kumar,Chemistry,36,100,68,2,F
STU0001,Zara Kumar,Computer Science,64,100,68,3,B
STU0001,Zara Kumar,English,73,100,68,2,B+
STU0001,Zara Kumar,Statistics,75,100,82,5,B+
STU0002,Kavita Rao,Mathematics,82,100,75,7,A
STU0002,Kavita Rao,Physics,88,100,100,6,A
STU0002,Kavita Rao,Chemistry,79,100,94,6,B+
STU0002,Kavita Rao,Computer Science,83,100,83,5,A
STU0002,Kavita Rao,English,82,100,90,8,A
STU0002,Kavita Rao,Statistics,97,100,86,3,A+
STU0003,Chetan Choudhary,Mathematics,47,100,68,2,D
STU0003,Chetan Choudhary,Physics,46,100,65,4,D
STU0003,Chetan Choudhary,Chemistry,11,100,69,1,F
STU0003,Chetan Choudhary,Computer Science,34,100,50,1,F
STU0003,Chetan Choudhary,English,49,100,65,5,D
STU0003,Chetan Choudhary,Statistics,17,100,51,0,F
STU0004,Indira Kumar,Mathematics,63,100,74,1,B
STU0004,Indira Kumar,Physics,40,100,56,0,D
STU0004,Indira Kumar,Chemistry,41,100,52,2,D
STU0004,Indira Kumar,Computer Science,37,100,64,2,F
STU0004,Indira Kumar,English,54,100,57,4,C
STU0004,Indira Kumar,Statistics,26,100,53,3,F
STU0005,Omkar Das,Mathematics,71,100,66,3,B+
STU0005,Omkar Das,Physics,51,100,92,4,C
STU0005,Omkar Das,Chemistry,57,100,82,2,C
STU0005,Omkar Das,Computer Science,82,100,60,5,A
STU0005,Omkar Das,English,56,100,72,5,C
STU0005,Omkar Das,Statistics,66,100,84,1,B
STU0006,Omkar Singh,Mathematics,43,100,73,3,D
STU0006,Omkar Singh,Physics,53,100,51,4,C
STU0006,Omkar Singh,Chemistry,34,100,42,0,F
STU0006,Omkar Singh,Computer Science,50,100,78,1,C
STU0006,Omkar Singh,English,13,100,68,3,F
STU0006,Omkar Singh,Statistics,44,100,54,0,D
STU0007,Ekta Sharma,Mathematics,90,100,83,4,A+
STU0007,Ekta Sharma,Physics,100,100,92,5,A+
STU0007,Ekta Sharma,Chemistry,77,100,100,7,B+
STU0007,Ekta Sharma,Computer Science,77,100,88,5,B+
STU0007,Ekta Sharma,English,82,100,95,7,A
STU0007,Ekta Sharma,Statistics,85,100,84,8,A
STU0008,Rahul Agarwal,Mathematics,78,100,78,5,B+
STU0008,Rahul Agarwal,Physics,70,100,92,8,B+
STU0008,Rahul Agarwal,Chemistry,81,100,98,7,A
STU0008,Rahul Agarwal,Computer Science,90,100,98,6,A+
STU0008,Rahul Agarwal,English,79,100,75,7,B+
STU0008,Rahul Agarwal,Statistics,95,100,83,6,A+
STU0009,Wahida Das,Mathematics,49,100,76,2,D
STU0009,Wahida Das,Physics,52,100,75,1,C
STU0009,Wahida Das,Chemistry,64,100,75,5,B
STU0009,Wahida Das,Computer Science,70,100,51,2,B+
STU0009,Wahida Das,English,54,100,78,0,C
STU0009,Wahida Das,Statistics,53,100,66,3,C
STU0010,Aishwarya Iyer,Mathematics,43,100,48,2,D
STU0010,Aishwarya Iyer,Physics,53,100,61,2,C
STU0010,Aishwarya Iyer,Chemistry,14,100,64,1,F
STU0010,Aishwarya Iyer,Computer Science,26,100,64,1,F
STU0010,Aishwarya Iyer,English,39,100,65,0,F
STU0010,Aishwarya Iyer,Statistics,27,100,44,3,F
STU0011,Ekta Menon,Mathematics,52,100,50,2,C
STU0011,Ekta Menon,Physics,44,100,58,3,D
STU0011,Ekta Menon,Chemistry,52,100,58,0,C
STU0011,Ekta Menon,Computer Science,40,100,56,0,D
STU0011,Ekta Menon,English,20,100,55,0,F
STU0011,Ekta Menon,Statistics,32,100,64,3,F
STU0012,Divya Kumar,Mathematics,82,100,96,6,A
STU0012,Divya Kumar,Physics,80,100,75,6,A
STU0012,Divya Kumar,Chemistry,73,100,98,6,B+
STU0012,Divya Kumar,Computer Science,87,100,88,7,A
STU0012,Divya Kumar,English,80,100,87,3,A
STU0012,Divya Kumar,Statistics,81,100,79,3,A
STU0013,Farida D'Souza,Mathematics,60,100,55,4,B
STU0013,Farida D'Souza,Physics,68,100,74,1,B
STU0013,Farida D'Souza,Chemistry,76,100,91,3,B+
STU0013,Farida D'Souza,Computer Science,47,100,74,1,D
STU0013,Farida D'Souza,English,61,100,76,2,B
STU0013,Farida D'Souza,Statistics,78,100,76,4,B+
STU0014,Hina Kapoor,Mathematics,83,100,70,5,A
STU0014,Hina Kapoor,Physics,64,100,72,3,B
STU0014,Hina Kapoor,Chemistry,66,100,66,1,B
STU0014,Hina Kapoor,Computer Science,71,100,76,3,B+
STU0014,Hina Kapoor,English,74,100,55,5,B+
STU0014,Hina Kapoor,Statistics,46,100,67,4,D
STU0015,Chirag Menon,Mathematics,61,100,79,6,B
STU0015,Chirag Menon,Physics,55,100,77,2,C
STU0015,Chirag Menon,Chemistry,73,100,81,5,B+
STU0015,Chirag Menon,Computer Science,68,100,67,3,B
STU0015,Chirag Menon,English,58,100,81,4,C
STU0015,Chirag Menon,Statistics,61,100,79,2,B
STU0016,Jayant Kapoor,Mathematics,87,100,76,3,A
STU0016,Jayant Kapoor,Physics,75,100,52,3,B+
STU0016,Jayant Kapoor,Chemistry,66,100,86,5,B
STU0016,Jayant Kapoor,Computer Science,63,100,70,3,B
STU0016,Jayant Kapoor,English,52,100,69,3,C
STU0016,Jayant Kapoor,Statistics,62,100,80,7,B
STU0017,Lakshmi Tiwari,Mathematics,73,100,73,2,B+
STU0017,Lakshmi Tiwari,Physics,57,100,88,4,C
STU0017,Lakshmi Tiwari,Chemistry,35,100,73,4,F
STU0017,Lakshmi Tiwari,Computer Science,63,100,66,3,B
STU0017,Lakshmi Tiwari,English,82,100,90,5,A
STU0017,Lakshmi Tiwari,Statistics,71,100,75,5,B+
STU0018,Nandita Ansari,Mathematics,31,100,60,2,F
STU0018,Nandita Ansari,Physics,32,100,57,0,F
STU0018,Nandita Ansari,Chemistry,45,100,51,0,D
STU0018,Nandita Ansari,Computer Science,22,100,37,1,F
STU0018,Nandita Ansari,English,30,100,56,0,F
STU0018,Nandita Ansari,Statistics,36,100,47,2,F
STU0019,Eshan Joshi,Mathematics,65,100,65,4,B
STU0019,Eshan Joshi,Physics,83,100,76,4,A
STU0019,Eshan Joshi,Chemistry,71,100,76,5,B+
STU0019,Eshan Joshi,Computer Science,67,100,71,7,B
STU0019,Eshan Joshi,English,63,100,87,3,B
STU0019,Eshan Joshi,Statistics,82,100,80,4,A
STU0020,Jaya Ansari,Mathematics,63,100,84,4,B
STU0020,Jaya Ansari,Physics,63,100,75,6,B
STU0020,Jaya Ansari,Chemistry,69,100,65,3,B
STU0020,Jaya Ansari,Computer Science,72,100,65,5,B+
STU0020,Jaya Ansari,English,64,100,71,4,B
STU0020,Jaya Ansari,Statistics,71,100,61,2,B+
STU0021,Eshan Tiwari,Mathematics,90,100,97,4,A+
STU0021,Eshan Tiwari,Physics,67,100,82,7,B
STU0021,Eshan Tiwari,Chemistry,93,100,78,6,A+
STU0021,Eshan Tiwari,Computer Science,81,100,85,3,A
STU0021,Eshan Tiwari,English,84,100,97,6,A
STU0021,Eshan Tiwari,Statistics,82,100,87,6,A
STU0022,Tara Choudhary,Mathematics,68,100,88,1,B
STU0022,Tara Choudhary,Physics,61,100,72,6,B
STU0022,Tara Choudhary,Chemistry,65,100,75,0,B
STU0022,Tara Choudhary,Computer Science,65,100,77,2,B
STU0022,Tara Choudhary,English,69,100,57,2,B
STU0022,Tara Choudhary,Statistics,63,100,66,0,B
STU0023,Gaurav Saxena,Mathematics,64,100,70,5,B
STU0023,Gaurav Saxena,Physics,58,100,40,4,C
STU0023,Gaurav Saxena,Chemistry,66,100,75,2,B
STU0023,Gaurav Saxena,Computer Science,57,100,78,3,C
STU0023,Gaurav Saxena,English,77,100,64,3,B+
STU0023,Gaurav Saxena,Statistics,62,100,76,2,B
STU0024,Rahul Tiwari,Mathematics,54,100,58,3,C
STU0024,Rahul Tiwari,Physics,35,100,67,0,F
STU0024,Rahul Tiwari,Chemistry,21,100,24,1,F
STU0024,Rahul Tiwari,Computer Science,33,100,67,0,F
STU0024,Rahul Tiwari,English,35,100,60,1,F
STU0024,Rahul Tiwari,Statistics,56,100,57,6,C
STU0025,Karthik Malhotra,Mathematics,78,100,85,4,B+
STU0025,Karthik Malhotra,Physics,55,100,57,5,C
STU0025,Karthik Malhotra,Chemistry,57,100,69,6,C
STU0025,Karthik Malhotra,Computer Science,63,100,70,5,B
STU0025,Karthik Malhotra,English,46,100,73,3,D
STU0025,Karthik Malhotra,Statistics,65,100,71,4,B
STU0026,Gayatri Joshi,Mathematics,60,100,71,1,B
STU0026,Gayatri Joshi,Physics,56,100,65,3,C
STU0026,Gayatri Joshi,Chemistry,66,100,64,4,B
STU0026,Gayatri Joshi,Computer Science,62,100,83,4,B
STU0026,Gayatri Joshi,English,70,100,77,6,B+
STU0026,Gayatri Joshi,Statistics,55,100,72,4,C
STU0027,Vikram Verma,Mathematics,71,100,85,3,B+
STU0027,Vikram Verma,Physics,59,100,75,4,C
STU0027,Vikram Verma,Chemistry,69,100,66,3,B
STU0027,Vikram Verma,Computer Science,67,100,69,3,B
STU0027,Vikram Verma,English,53,100,71,3,C
STU0027,Vikram Verma,Statistics,66,100,63,6,B
STU0028,Shreya Saxena,Mathematics,69,100,91,2,B
STU0028,Shreya Saxena,Physics,62,100,68,4,B
STU0028,Shreya Saxena,Chemistry,59,100,79,1,C
STU0028,Shreya Saxena,Computer Science,61,100,73,4,B
STU0028,Shreya Saxena,English,58,100,70,3,C
STU0028,Shreya Saxena,Statistics,65,100,67,6,B
STU0029,Suresh Roy,Mathematics,46,100,68,4,D
STU0029,Suresh Roy,Physics,58,100,71,3,C
STU0029,Suresh Roy,Chemistry,74,100,68,3,B+
STU0029,Suresh Roy,Computer Science,61,100,66,2,B
STU0029,Suresh Roy,English,50,100,79,2,C
